0400 - Fornitore;t_cotp;NrOdA;t_odat;t_pono;t_item;4050 - Qta Ordinata (kg);4050 - Importo Ordinato
BP0004448;A01;OA0000207;18/09/2020;160;NSZV060D1GL2;66250;958927,96
BP0004448;A01;OA0000207;18/09/2020;170;NSZV055D1T82;53030;958927,96
BP0004448;A01;OA0000207;18/09/2020;180;NSZV060D1RS2;60820;958927,96
BP0004448;A01;OA0000207;18/09/2020;190;NSZV060D1RS1;58070;958927,96
BP0004448;A01;OA0000207;18/09/2020;200;NSZV100D1RS2;55824;958927,96
BP0004448;A01;OA0000207;18/09/2020;210;NSZV055D1SI2;28535;958927,96
BP0004448;A01;OA0000207;18/09/2020;220;NSZV050D1TM2;53720;958927,96
BP0004448;A01;OA0000207;18/09/2020;230;NSZV055D1ATM2;46692;958927,96
BP0004448;A01;OA0000207;18/09/2020;240;NSZV055D1TM2;59870;958927,96
BP0004448;A01;OA0000207;18/09/2020;250;NSZV060D1TM2;242880;958927,96
BP0004448;A01;OA0000207;18/09/2020;260;NSZV060D1TM2;108370;958927,96
BP0004448;A01;OA0000207;18/09/2020;270;NSZV070D1TM2;60170;958927,96
BP0004448;A01;OA0000207;18/09/2020;280;NSZV080D1TM2;113452;958927,96
BP0004448;A01;OA0000207;18/09/2020;290;NSZV100D1TM2;58120;958927,96
BP0004448;A01;OA0000207;18/09/2020;300;NSZV150D1TM2;58730;958927,96
BP0004448;A01;OA0000207;18/09/2020;310;NSZV055D1NE2;29080;958927,96
BP0004448;A01;OA0000207;18/09/2020;320;NSZV060D1NE2;57894;958927,96
BP0004448;A01;OA0000207;18/09/2020;330;NSZV055D1HTM2;29580;958927,96
BP0004448;A01;OA0000207;18/09/2020;340;NSZV055D1HGA2;58180;958927,96
BP0004448;A01;OA0000207;18/09/2020;350;NSZV080D1BG2;8570;958927,96
BP0004448;A01;OA0000207;18/09/2020;360;NSZV080D1BG2;6910;958927,96
BP0004448;A01;OA0000207;18/09/2020;370;NSZV050D1B91;8205;958927,96
BP0004933;A02;OA0000208;18/09/2020;10;XXRA1300X400AC;1;3536,5
BP0004933;A02;OA0000208;18/09/2020;20;XXRA1300X400AFR;1;3536,5
BP0004933;A02;OA0000208;18/09/2020;30;XXRA1300X400AM;3;3536,5
BP0000563;A02;OA0000211;18/09/2020;10;XXNA1600X280032;40;1400
BP0000649;A01;OA0000212;21/09/2020;10;ACCZVCOGA120;100;36
BP0003735;A01;OA0000213;21/09/2020;10;NSAV150T8T2L;6480;19440
BP0003242;A01;OA0000214;21/09/2020;10;NSAL1505754H111;17340;35340
BP0001104;A01;OA0000215;21/09/2020;10;FOAI10M304F1;355;694,2
BP0001315;A01;OA0000216;21/09/2020;10;XXIMLEFO125X400;15;570
BP0005405;A01;OA0000217;21/09/2020;10;NSZN120D1100;7605;4220,78
BP0005405;A01;OA0000218;21/09/2020;10;NSZN060D1100;44480;31860,78
BP0005405;A01;OA0000218;21/09/2020;20;NSZN060D1100;11040;31860,78
BP0005405;A01;OA0000218;21/09/2020;30;NSZN060D1100;11000;31860,78
BP0005405;A01;OA0000218;21/09/2020;40;NSZN100D1100;10340;31860,78
BP0002105;A02;OA0000219;21/09/2020;10;XXIMLEFO125X300;404;8791
BP0002105;A02;OA0000219;21/09/2020;20;XXIMLEFO125X400;230;8791
BP0002105;A02;OA0000219;21/09/2020;30;XXIMLETAVOLA;560;8791
BP0002105;A02;OA0000219;21/09/2020;40;XXIMLE6X6X125;420;8791
BP0002923;A01;OA0000220;21/09/2020;10;XXIMPE1600A;1234;7031,08
BP0002923;A01;OA0000220;21/09/2020;20;XXIMES50A;2210;7031,08
BP0002923;A01;OA0000220;21/09/2020;30;XXIMES50M;1620;7031,08
BP0000610;A01;OA0000221;21/09/2020;10;ACCTZCO100P;0;127,5
BP0004670;A01;OA0000222;21/09/2020;10;XXDETINGRO;240;940,8
BP0004448;A01;OA0000223;21/09/2020;10;NSZN055D1200;96600;71310,32
BP0004448;A01;OA0000223;21/09/2020;20;NSZN060D1200;99740;71310,32
BP0004448;A01;OA0000224;21/09/2020;10;NSZN060D1275;55810;140874,93
BP0004448;A01;OA0000224;21/09/2020;20;NSZN075D1275;28890;140874,93
BP0004448;A01;OA0000224;21/09/2020;30;NSZN100D1275;104820;140874,93
BP0004448;A01;OA0000224;21/09/2020;40;NSZN150D1275;63058;140874,93
BP0004448;A01;OA0000224;21/09/2020;50;NSZN150D1275;56650;140874,93
BP0004448;A01;OA0000224;21/09/2020;60;NSZN200D1275;50720;140874,93
BP0004448;A01;OA0000224;21/09/2020;70;NSZN075D1275;10165;140874,93
BP0004448;A01;OA0000224;21/09/2020;80;NSZN075D1275;8563;140874,93
BP0004448;A01;OA0000224;21/09/2020;90;NSZN100D1275;4350;140874,93
BP0004448;A01;OA0000224;21/09/2020;100;NSZN200D1275;9010;140874,93
BP0004448;A01;OA0000225;21/09/2020;10;NSZN060D1100;106056;222845,89
BP0004448;A01;OA0000225;21/09/2020;20;NSZN060D1100;55990;222845,89
BP0004448;A01;OA0000225;21/09/2020;30;NSZN070D1100;36750;222845,89
BP0004448;A01;OA0000225;21/09/2020;40;NSZN080D1100;59320;222845,89
BP0004448;A01;OA0000225;21/09/2020;50;NSZN100D1100;64480;222845,89
BP0004448;A01;OA0000225;21/09/2020;60;NSZN120D1100;52388;222845,89
BP0004448;A01;OA0000225;21/09/2020;70;NSZN120D1100;57080;222845,89
BP0004448;A01;OA0000225;21/09/2020;80;NSZN120D1100;41470;222845,89
BP0004448;A01;OA0000225;21/09/2020;90;NSZN150D1100;64602;222845,89
BP0004448;A01;OA0000225;21/09/2020;100;NSZN200D1100;40800;222845,89
BP0004448;A01;OA0000225;21/09/2020;110;NSZN300D1100;51168;222845,89
BP0004448;A01;OA0000225;21/09/2020;120;NSZN300D1100;63660;222845,89
BP0004448;A01;OA0000225;21/09/2020;130;NSZN120D1100;11835;222845,89
BP0004448;A01;OA0000226;21/09/2020;10;NSZN060D1200;73280;38874,89
BP0004448;A01;OA0000226;21/09/2020;20;NSZN400D1200;56270;38874,89
BP0004448;A01;OA0000227;21/09/2020;10;NSZN060D1100;56470;210030,14
BP0004448;A01;OA0000227;21/09/2020;20;NSZN080D1100;45860;210030,14
BP0004448;A01;OA0000227;21/09/2020;30;NSZN080D1100;60282;210030,14
BP0004448;A01;OA0000227;21/09/2020;40;NSZN080D1100;92410;210030,14
BP0004448;A01;OA0000227;21/09/2020;50;NSZN100D1100;55780;210030,14
BP0004448;A01;OA0000227;21/09/2020;60;NSZN120D1100;58850;210030,14
BP0004448;A01;OA0000227;21/09/2020;70;NSZN120D1100;42010;210030,14
BP0004448;A01;OA0000227;21/09/2020;80;NSZN150D1100;54344;210030,14
BP0004448;A01;OA0000227;21/09/2020;90;NSZN150D1100;66618;210030,14
BP0004448;A01;OA0000227;21/09/2020;100;NSZN150D1100;36648;210030,14
BP0004448;A01;OA0000227;21/09/2020;110;NSZN200D1100;52220;210030,14
BP0004448;A01;OA0000227;21/09/2020;120;NSZN200D1100;7125;210030,14
BP0004448;A01;OA0000227;21/09/2020;130;NSZN060D1100;7520;210030,14
BP0004448;A01;OA0000227;21/09/2020;140;NSZN150D1100;8795;210030,14
BP0002105;A02;OA0000228;22/09/2020;10;XXIMLEFO100X300;26;520
BP0004448;A01;OA0000229;22/09/2020;10;NSZV060D1BG1;56982;920269,29
BP0004448;A01;OA0000229;22/09/2020;20;NSZV060D1BB1;60380;920269,29
BP0004448;A01;OA0000229;22/09/2020;30;NSZV060D1BG2;241792;920269,29
BP0004448;A01;OA0000229;22/09/2020;40;NSZV060D1BG2;58800;920269,29
BP0004448;A01;OA0000229;22/09/2020;50;NSZV080D1BG2;98570;920269,29
BP0004448;A01;OA0000229;22/09/2020;60;NSZV080D1BG2;105188;920269,29
BP0004448;A01;OA0000229;22/09/2020;70;NSZV080D1BG2;60782;920269,29
BP0004448;A01;OA0000229;22/09/2020;80;NSZV120D1BG2;49294;920269,29
BP0004448;A01;OA0000229;22/09/2020;90;NSZV120D1BG2;56556;920269,29
BP0004448;A01;OA0000229;22/09/2020;100;NSZV080D1BZ2;58030;920269,29
BP0004448;A01;OA0000229;22/09/2020;110;NSZV055D1GA2;68700;920269,29
BP0004448;A01;OA0000229;22/09/2020;120;NSZV055D1GA2;59690;920269,29
BP0004448;A01;OA0000229;22/09/2020;130;NSZV080D1GA2;80450;920269,29
BP0004448;A01;OA0000229;22/09/2020;140;NSZV060D1G72;57020;920269,29
BP0004448;A01;OA0000229;22/09/2020;150;NSZV087D1MR1;100030;920269,29
BP0004448;A01;OA0000229;22/09/2020;160;NSZV055D1B22;60020;920269,29
BP0004448;A01;OA0000229;22/09/2020;170;NSZV080D1SI1;60884;920269,29
BP0004448;A01;OA0000229;22/09/2020;180;NSZV055D1HTM2;94590;920269,29
BP0004448;A01;OA0000229;22/09/2020;190;NSZV055D1HGA2;107204;920269,29
BP0004448;A01;OA0000229;22/09/2020;200;NSZV060D1TM2;189160;920269,29
BP0004448;A01;OA0000229;22/09/2020;210;NSZV060D1TM2;96990;920269,29
BP0004448;A01;OA0000229;22/09/2020;220;NSZV080D1TM2;199890;920269,29
BP0004448;A01;OA0000229;22/09/2020;230;NSZV080D1V62;58598;920269,29
BP0004448;A01;OA0000229;22/09/2020;240;NSZV080D1V62;29760;920269,29
BP0004448;A01;OA0000229;22/09/2020;250;NSZV080D1NE2;70112;920269,29
BP0004448;A01;OA0000229;22/09/2020;260;NSZV100D1TM2;72290;920269,29
BP0004448;A01;OA0000229;22/09/2020;270;NSZV060D1TM2;20030;920269,29
BP0004448;A01;OA0000229;22/09/2020;280;NSZV100D1TM2;7176;920269,29
BP0004448;A01;OA0000229;22/09/2020;290;NSZV060D1TM2;9800;920269,29
BP0004448;A01;OA0000229;22/09/2020;300;NSZV120D1BG2;10010;920269,29
BP0004448;A01;OA0000229;22/09/2020;310;NSZV080D1V62;5495;920269,29
BP0003735;A01;OA0000230;22/09/2020;10;NSAV070MA2OL;7190;19266
BP0000610;A01;OA0000231;23/09/2020;10;ACCZVGOTM080;15;28,28
BP0000610;A01;OA0000231;23/09/2020;20;ACCZVGOTM100;12;28,28
BP0003653;A01;OA0000232;23/09/2020;10;NSCU050DCOT;4918;32262,08
BP0004646;A02;OA0000234;24/09/2020;10;XXACEETILE;250;487,5
BP0001338;A01;OA0000235;24/09/2020;10;NFAL100F3P5;613,5703704;12558
BP0001338;A01;OA0000235;24/09/2020;20;NFAL080F5P7;617,7453704;12558
BP0002105;A02;OA0000236;24/09/2020;10;XXIMLEFO100X200;401;8247
BP0002105;A02;OA0000236;24/09/2020;20;XXIMLE800X600;509;8247
BP0002105;A02;OA0000236;24/09/2020;30;XXIMLETELAIO2;100;8247
BP0003897;A01;OA0000238;25/09/2020;10;PICU300ECRU20V;503;9849,33
BP0003897;A01;OA0000238;25/09/2020;20;PICU400ECRU20V;461;9849,33
BP0003897;A01;OA0000238;25/09/2020;30;PICU300ECRU25V;518;9849,33
BP0002519;A01;OA0000239;25/09/2020;10;NSAI0404412B;7957;60412,8
BP0002519;A01;OA0000239;25/09/2020;20;NSAI0404412B;29801;60412,8
BP0001372;A01;OA0000240;25/09/2020;10;NSAV100BG2L;3292;46840,39
BP0001372;A01;OA0000240;25/09/2020;20;NSAV100BG2L;2673;46840,39
BP0001372;A01;OA0000240;25/09/2020;30;NSAV100TM2L;5885;46840,39
BP0001372;A01;OA0000240;25/09/2020;40;NSAV100TM2L;7128;46840,39
BP0004155;A01;OA0000241;25/09/2020;10;SN35;50;3705
BP0004155;A01;OA0000241;25/09/2020;20;SN40;50;3705
BP0004155;A01;OA0000241;25/09/2020;30;SN50;300;3705
BP0004881;A01;OA0000242;25/09/2020;10;NSZN050D3140;3170;2288,74
BP0003694;A01;OA0000243;28/09/2020;10;NSPB050-1000-5000;2052;74254
BP0003694;A01;OA0000243;28/09/2020;20;NSPB100-1000-5000;6217;74254
BP0003694;A01;OA0000243;28/09/2020;30;NSPB100-0500-5000;1025;74254
BP0003694;A01;OA0000243;28/09/2020;40;NSPB100-0670-5000;1010;74254
BP0003694;A01;OA0000243;28/09/2020;50;NSPB120-1000-5000;15296;74254
BP0003694;A01;OA0000243;28/09/2020;60;NSPB120-1000-2500;2928;74254
BP0003694;A01;OA0000243;28/09/2020;70;NSPB120-0500-5000;1972;74254
BP0003694;A01;OA0000243;28/09/2020;80;NSPB150-1000-5000;10037;74254
BP0003694;A01;OA0000243;28/09/2020;90;NSPB150-0500-5000;1031;74254
BP0004197;A01;OA0000244;28/09/2020;10;NSAV150B91P;1112;3350
BP0001104;A01;OA0000245;28/09/2020;10;FOAI2003102B;1468,11;6606,5
BP0003960;A01;OA0000246;29/09/2020;10;NSAL1001050H24;10960;30618
BP0003960;A01;OA0000246;29/09/2020;20;NSAL1001050H24;3620;30618
BP0001234;A01;OA0000247;30/09/2020;10;NSTZ060NAT;3648;9298,75
BP0004339;A01;OA0000249;30/09/2020;10;FOPB200-SU-MISURA;1884;4396,8
BP0001520;A01;OA0000250;30/09/2020;10;NSAI050439FTE;79500;371285,75
BP0001520;A01;OA0000250;30/09/2020;20;NSAI050439FTE;15715;371285,75
BP0001520;A01;OA0000250;30/09/2020;30;NSAI050439FTE;48360;371285,75
BP0001520;A01;OA0000250;30/09/2020;40;NSAI050439FTE;16070;371285,75
BP0001520;A01;OA0000250;30/09/2020;50;NSAI050439FTE;22450;371285,75
BP0003565;A01;OA0000251;01/10/2020;10;NSAL1501050H24;8615;47378,44
BP0003565;A01;OA0000251;01/10/2020;20;NSAL1501050H24;14090;47378,44
BP0003735;A01;OA0000252;01/10/2020;10;NSAV080B91L;14046;224405
BP0003735;A01;OA0000252;01/10/2020;20;NSAV080GA1L;6728;224405
BP0003735;A01;OA0000252;01/10/2020;30;NSAV080M81L;6938;224405
BP0003735;A01;OA0000252;01/10/2020;40;NSAV080SI1L;6906;224405
BP0003735;A01;OA0000252;01/10/2020;50;NSAV100B91L;13554;224405
BP0003735;A01;OA0000252;01/10/2020;60;NSAV100BP1L;6816;224405
BP0003735;A01;OA0000252;01/10/2020;70;NSAV100G71L;5114;224405
BP0003735;A01;OA0000252;01/10/2020;80;NSAV100G72L;6616;224405
BP0003735;A01;OA0000252;01/10/2020;90;NSAV100GA1L;5330;224405
BP0003735;A01;OA0000252;01/10/2020;100;NSAV100SI1L;7176;224405
BP0003735;A01;OA0000252;01/10/2020;110;NSAV150B91L-3G;7090;224405
BP0000610;A01;OA0000253;01/10/2020;10;ACCZVGOGA080;100;230,2
BP0000610;A01;OA0000253;01/10/2020;20;ACCZVGOB9100;100;230,2
BP0002105;A02;OA0000254;01/10/2020;10;XXIMLEEURO;213;6384
BP0002105;A02;OA0000254;01/10/2020;20;XXIMLEEURO;300;6384
BP0002105;A02;OA0000254;01/10/2020;30;XXIMLEEURO;460;6384
BP0003565;A01;OA0000255;02/10/2020;10;NSAL1001050H24;12290;126963,2
BP0003565;A01;OA0000255;02/10/2020;20;NSAL1001050H24;12160;126963,2
BP0003565;A01;OA0000255;02/10/2020;30;NSAL1001050H24;7025;126963,2
BP0003565;A01;OA0000255;02/10/2020;40;NSAL2001050H24;4635;126963,2
BP0003565;A01;OA0000255;02/10/2020;50;NSAL2001050H24;8785;126963,2
BP0003565;A01;OA0000255;02/10/2020;60;NSAL2001050H24;10170;126963,2
BP0003565;A01;OA0000255;02/10/2020;70;NSAL3001050H24;6450;126963,2
BP0003242;A01;OA0000256;02/10/2020;10;NSAL0603105H16;13976;94404,01
BP0003242;A01;OA0000256;02/10/2020;20;NSAL1003105H16;14228;94404,01
BP0003242;A01;OA0000256;02/10/2020;30;NSAL1505754H111;9950;94404,01
BP0003242;A01;OA0000256;02/10/2020;40;NSAL2005754H111;13188;94404,01
BP0003242;A01;OA0000256;02/10/2020;50;NSAL2005754H111;9795;94404,01
BP0001315;A01;OA0000257;02/10/2020;10;XXIMLEFO125X400;23;1084
BP0001315;A01;OA0000257;02/10/2020;20;XXIMLEFO150X400;5;1084
BP0004594;A01;OA0000258;02/10/2020;10;NSAV100GA2L;41640;67257
BP0004594;A01;OA0000258;02/10/2020;20;NSAV100GA2L;9478;67257
BP0004281;A02;OA0000259;02/10/2020;10;XXIMPO080;2011;1940
BP0002105;A02;OA0000261;02/10/2020;10;XXIMLEROTOLI;1000;27960
BP0002105;A02;OA0000261;02/10/2020;20;XXIMLEROTOLI;1000;27960
BP0002105;A02;OA0000261;02/10/2020;30;XXIMLEROTOLI;1000;27960
BP0002105;A02;OA0000261;02/10/2020;40;XXIMLEROTOLI;1274;27960
BP0002105;A02;OA0000262;02/10/2020;10;XXIMLE6X6X500;1415;7605
BP0004116;A01;OA0000263;05/10/2020;10;ACCGU15X2500C10B;?;5081,25
BP0004116;A01;OA0000263;05/10/2020;20;ACCGU1X140X3000;?;5081,25
BP0003518;A01;OA0000264;05/10/2020;10;XXIMPEL1300BN;?;1683,5
BP0003518;A01;OA0000265;05/10/2020;10;XXIMPEL1300BN;?;2693,6
BP0004389;A01;OA0000266;06/10/2020;10;XXIMCA10X30FU;5460;505
BP0004445;A01;OA0000267;07/10/2020;10;NSAI0603042B;57161;150499,95
BP0004445;A01;OA0000267;07/10/2020;20;NSAI0703042B;22831;150499,95
BP0000681;A01;OA0000268;07/10/2020;10;ACCAVCLIL080;20;130,4
BP0004197;A01;OA0000269;07/10/2020;10;FOAV150M81P;1159;3237,6
BP0000649;A01;OA0000271;08/10/2020;10;ACCAICO100;200;0
BP0000649;A01;OA0000271;08/10/2020;20;ACCAICO120;200;0
BP0000649;A01;OA0000271;08/10/2020;30;ACCZVCOBG100;300;0
BP0000649;A01;OA0000271;08/10/2020;40;ACCZVCOBG080;100;0
BP0000649;A01;OA0000271;08/10/2020;50;ACCZVCOBG100X100;100;0
BP0000649;A01;OA0000271;08/10/2020;60;ACCZVCOGS100;200;0
BP0000649;A01;OA0000271;08/10/2020;70;ACCZVCOB9120;100;0
BP0000649;A01;OA0000271;08/10/2020;80;ACCZVCOSI100;100;0
BP0000649;A01;OA0000271;08/10/2020;90;ACCZVCOTM100;200;0
BP0000649;A01;OA0000271;08/10/2020;100;ACCZVCOTM120;100;0
BP0000649;A01;OA0000271;08/10/2020;110;ACCZVCOV6080;100;0
BP0000649;A01;OA0000271;08/10/2020;120;ACCZVCO7037100A;200;0
BP0000649;A01;OA0000271;08/10/2020;130;ACCZVCOGA100;100;0
BP0000649;A01;OA0000271;08/10/2020;140;ACCZVCOGA120;200;0
BP0000649;A01;OA0000271;08/10/2020;150;ACCZVCOGA100X100;100;0
BP0000649;A01;OA0000271;08/10/2020;160;ACCCUCO100;200;0
BP0000649;A01;OA0000271;08/10/2020;170;ACCTZCO100P;300;0
BP0000649;A01;OA0000271;08/10/2020;180;ACCTZCO080P;100;0
BP0000649;A01;OA0000271;08/10/2020;190;ACCALCOG7100;100;0
BP0000649;A01;OA0000271;08/10/2020;200;ACCZVCOB9100;300;0
BP0000649;A01;OA0000271;08/10/2020;220;ACCAVCOB9080;100;0
BP0004415;A01;OA0000272;08/10/2020;10;NSAI0603162B;29089;154720,27
BP0004415;A01;OA0000272;08/10/2020;20;NSAI1003162B;29740;154720,27
BP0003694;A01;OA0000273;08/10/2020;10;NSPB100-0600-5000;2991;5466
BP0004448;A01;OA0000274;08/10/2020;10;NSZV060D1BG2;57750;22522,5
BP0003735;A01;OA0000275;08/10/2020;10;NSAV080NE1L;21556;59577
BP0003653;A01;OA0000276;08/10/2020;10;NSCU045DSCR;6214;1661835,41
BP0003653;A01;OA0000276;08/10/2020;20;NSCU048DSCR;52236;1661835,41
BP0003653;A01;OA0000276;08/10/2020;30;NSCU050DSCR;12718;1661835,41
BP0003653;A01;OA0000276;08/10/2020;40;NSCU055DSCR;11792;1661835,41
BP0003653;A01;OA0000276;08/10/2020;50;NSCU055DSCR;13044;1661835,41
BP0003653;A01;OA0000276;08/10/2020;60;NSCU058DSCR;13084;1661835,41
BP0003653;A01;OA0000276;08/10/2020;70;NSCU060DSCR;219952;1661835,41
BP0003653;A01;OA0000276;08/10/2020;80;NSCU070DSCR;10232;1661835,41
BP0003653;A01;OA0000276;08/10/2020;90;NSCU080DCOT;4952;1661835,41
BP0003653;A01;OA0000276;08/10/2020;100;NSCU080DSCR;49518;1661835,41
BP0003653;A01;OA0000276;08/10/2020;110;NSCU100DSCR;12131;1661835,41
BP0003653;A01;OA0000276;08/10/2020;120;NSCU120DCOT;2964;1661835,41
BP0003653;A01;OA0000276;08/10/2020;130;NSCU150DSCR;11353;1661835,41
BP0003653;A01;OA0000276;08/10/2020;140;NSCU060DSCR;12413;1661835,41
BP0003416;A01;OA0000277;08/10/2020;10;NSCU050DSCR;24048;283279,44
BP0003416;A01;OA0000277;08/10/2020;20;NSCU060DSCR;36432;283279,44
BP0003416;A01;OA0000277;08/10/2020;30;NSCU080DSCR;11513;283279,44
BP0003416;A01;OA0000277;08/10/2020;40;NSCU060DSCR;6055;283279,44
BP0003416;A01;OA0000277;08/10/2020;50;NSCU060DSCR;15927;283279,44
BP0000610;A01;OA0000278;08/10/2020;20;ACCAVGOGA100;100;3815,7
BP0000610;A01;OA0000278;08/10/2020;30;ACCAVGOG7100;150;3815,7
BP0000610;A01;OA0000278;08/10/2020;40;ACCAVGOSI100;100;3815,7
BP0000610;A01;OA0000278;08/10/2020;50;ACCALGOZA100;100;3815,7
BP0000610;A01;OA0000278;08/10/2020;60;ACCALGOSI080;30;3815,7
BP0000610;A01;OA0000278;08/10/2020;70;ACCZVGOB9100;100;3815,7
BP0000610;A01;OA0000278;08/10/2020;80;ACCZVGOB9120;50;3815,7
BP0000610;A01;OA0000278;08/10/2020;90;ACCZVGOBG100;100;3815,7
BP0000610;A01;OA0000278;08/10/2020;100;ACCZVGOBG060;50;3815,7
BP0000610;A01;OA0000278;08/10/2020;110;ACCZVGOBZ100;50;3815,7
BP0000610;A01;OA0000278;08/10/2020;120;ACCZVGOGA100;100;3815,7
BP0000610;A01;OA0000278;08/10/2020;130;ACCZVGOGA120;56;3815,7
BP0000610;A01;OA0000278;08/10/2020;140;ACCZVGOB9100F3;100;3815,7
BP0000610;A01;OA0000278;08/10/2020;150;ACCZVGORS100;50;3815,7
BP0000610;A01;OA0000278;08/10/2020;160;ACCZVGOSI100;100;3815,7
BP0000610;A01;OA0000278;08/10/2020;170;ACCZVGOSI120;56;3815,7
BP0000610;A01;OA0000278;08/10/2020;180;ACCZVGOTM100;100;3815,7
BP0000610;A01;OA0000278;08/10/2020;190;ACCZVGOTM080;100;3815,7
BP0000610;A01;OA0000278;08/10/2020;200;ACCZVGOV6080;50;3815,7
BP0000610;A01;OA0000278;08/10/2020;210;ACCZVGOGA100F3;100;3815,7
BP0000610;A01;OA0000278;08/10/2020;230;ACCZVGOGA080;100;3815,7
BP0000610;A01;OA0000278;08/10/2020;240;ACCZNGO08072A;100;3815,7
BP0000610;A01;OA0000278;08/10/2020;250;ACCZNGO10072A;300;3815,7
BP0000610;A01;OA0000278;08/10/2020;260;ACCTZGO100P;400;3815,7
BP0000610;A01;OA0000278;08/10/2020;270;ACCAVGOTM060;170;3815,7
BP0002105;A02;OA0000279;08/10/2020;10;XXIMLEFO125X200;234;11894
BP0002105;A02;OA0000279;08/10/2020;20;XXIMLEFO125X250;300;11894
BP0002105;A02;OA0000279;08/10/2020;30;XXIMLEFO125X300;229;11894
BP0004804;A02;OA0000280;08/10/2020;10;XXIMAD50TRA;684;3600
BP0004300;A02;OA0000281;08/10/2020;10;XXIMFE38X120CH;72000;1260
BP0000681;A01;OA0000282;09/10/2020;10;ACCAVGOCL08085;150;332,5
BP0000681;A01;OA0000282;09/10/2020;20;ACCZVGOCL08085;105;332,5
BP0001395;A01;OA0000283;09/10/2020;10;ACCAIGO10040E;50;4061,5
BP0001395;A01;OA0000283;09/10/2020;20;ACCAIGO10072E;300;4061,5
BP0001395;A01;OA0000283;09/10/2020;30;ACCAIGO10085E;500;4061,5
BP0001395;A01;OA0000283;09/10/2020;40;ACCAIGO12072E;60;4061,5
BP0001395;A01;OA0000283;09/10/2020;50;ACCAIGO12085E;60;4061,5
BP0001395;A01;OA0000283;09/10/2020;60;ACCAIGO06040E;30;4061,5
BP0001395;A01;OA0000283;09/10/2020;70;ACCAIGO06085E;30;4061,5
BP0001395;A01;OA0000283;09/10/2020;80;ACCAIGO08040E;50;4061,5
BP0001395;A01;OA0000283;09/10/2020;90;ACCAIGO08085E;100;4061,5
BP0001395;A01;OA0000283;09/10/2020;100;ACCCUGO08085E;100;4061,5
BP0000888;A01;OA0000284;09/10/2020;10;ACCZNGO12072A;104;124
BP0000808;A01;OA0000285;09/10/2020;10;ACCAVGOSI080;30;1157,19
BP0000808;A01;OA0000285;09/10/2020;30;ACCZVGOB9100;100;1157,19
BP0000808;A01;OA0000285;09/10/2020;50;ACCZVGOBG060;50;1157,19
BP0000808;A01;OA0000285;09/10/2020;60;ACCZVGOBG100X100;50;1157,19
BP0000808;A01;OA0000285;09/10/2020;90;ACCZVGONE100;150;1157,19
BP0000808;A01;OA0000285;09/10/2020;100;ACCZVGONE080;100;1157,19
BP0000808;A01;OA0000285;09/10/2020;110;ACCZVGOSI100;50;1157,19
BP0000808;A01;OA0000285;09/10/2020;120;ACCZVGOSI120;56;1157,19
BP0000808;A01;OA0000285;09/10/2020;130;ACCZVGOTM100;50;1157,19
BP0000808;A01;OA0000285;09/10/2020;140;ACCZVGOTM120;56;1157,19
BP0000808;A01;OA0000285;09/10/2020;150;ACCZVGOTM080;100;1157,19
BP0000808;A01;OA0000285;09/10/2020;160;ACCZVGOGA100F3;20;1157,19
BP0000808;A01;OA0000285;09/10/2020;200;ACCAVGOBG060;30;1157,19
BP0000808;A01;OA0000285;09/10/2020;210;ACCZVGOBG100;250;1157,19
BP0000808;A01;OA0000285;09/10/2020;220;XXIMLEEURO;2;1157,19
BP0000808;A01;OA0000285;09/10/2020;230;ACCZVGOGA120;56;1157,19
BP0003425;A02;OA0000286;09/10/2020;10;XXIMCAANIMA100;2016;2693,38
BP0000563;A02;OA0000287;09/10/2020;10;XXNA1600X28CS24;224;6900
BP0000563;A02;OA0000287;09/10/2020;20;XXNA1600X28CS18;124;6900
BP0000304;A01;OA0000288;09/10/2020;10;XXIMFETELAIO;4;6264,02
BP0000304;A01;OA0000288;09/10/2020;20;XXIMLE61X72X2;4;6264,02
BP0000304;A01;OA0000288;09/10/2020;30;XXIMFETUBI;5;6264,02
BP0000304;A01;OA0000288;09/10/2020;40;TTAI050439UGI100E-3000;0;6264,02
BP0000304;A01;OA0000288;09/10/2020;50;TTAI050439UGI100A-3000;757,7314124;6264,02
BP0000855;A01;OA0000289;09/10/2020;10;NSAI070430BA;3365;4879,25
BP0004300;A01;OA0000290;12/10/2020;10;XXIMFE12X6PM;280;246,4
BP0000610;A01;OA0000291;12/10/2020;10;ACCTZGO100P;50;127,5
BP0002923;A01;OA0000292;13/10/2020;10;XXIMPE1600A;1348;2064
BP0002050;A01;OA0000293;13/10/2020;10;FOAI600304F1;2160;3777,16
BP0003653;A01;OA0000294;13/10/2020;10;NSCU060DSCR;86462;242736,46
BP0004448;A01;OA0000295;14/10/2020;10;NSZV050D3TM2;28550;652517,96
BP0004448;A01;OA0000295;14/10/2020;20;NSZV055D1AGA2;59980;652517,96
BP0004448;A01;OA0000295;14/10/2020;30;NSZV055D1BG1;82470;652517,96
BP0004448;A01;OA0000295;14/10/2020;40;NSZV055D1G72;50150;652517,96
BP0004448;A01;OA0000295;14/10/2020;50;NSZV055D1GA2;29795;652517,96
BP0004448;A01;OA0000295;14/10/2020;60;NSZV055D1GA2;58520;652517,96
BP0004448;A01;OA0000295;14/10/2020;70;NSZV055D1HGA2;0;652517,96
